smiles,PI3K-beta,PI3K-alpha,PI3K-delta,PI3K-gamma
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1ncc(C)cc1F)c(=O)n3C,1,1,1,1
CCn1cc(-c2cc3c(cc2OC)ncc2c3n(-c3cn(C)nc3C)c(=O)n2C)cn1,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1cnn(C)c1)c(=O)n3C,1,1,1,1
CCn1cc(-c2cc3c(cc2OC)ncc2c3n(-c3ncccc3F)c(=O)n2C)cn1,1,1,1,1
CCc1cncc(F)c1-n1c(=O)n(C)c2cnc3cc(OC)c(-c4cnn(CC)c4)cc3c21,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ncc(C)cc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ccncc1OC)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cc(C)[nH]n1)n(-c1ncccc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1csc(C)n1)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ncncc1F)c(=O)n3C,1,1,1,1
CCn1cc(-c2cc3c(cc2OC)ncc2c3n(-c3ccncc3F)c(=O)n2C)cn1,1,1,1,1
CCn1cc(-c2cc3c(cc2OC)ncc2c3n(-c3ccncc3C)c(=O)n2C)cn1,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ccncc1F)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ncc(F)cn1)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1cnn(C2CCOCC2)c1)c(=O)n3C,1,1,1,1
CCn1cc(-c2cc3c(cc2OC)ncc2c3n(-c3c(C)cncc3F)c(=O)n2C)cn1,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ccncc1C)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cn[nH]c1)n(-c1ccnn1C)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1c[nH]nc1C)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1c(F)cncc1C#N)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ccnc(C#N)c1)c(=O)n3C,1,1,1,1
COc1cc2ncc3c(c2cc1-c1cnn(C)c1)n(-c1ccncc1C#N)c(=O)n3C,1,1,1,1
